,게시글번호,기준일,기준시간,확진자 수,격리해제 수,검사진행수,사망자 수,치료중 환자수,결과 음성 수,누적 검사 수,누적 검사 완료 수,누적 확진률,등록일시분초,수정일시분초
16,635,20210914,00:00,275908,247647,914400,2367,25894,12599919,13790227,12875827,2.1428371164,2021-09-14 09:45:02.459,2021-09-19 09:26:49.133
17,634,20210913,00:00,274411,245505,925739,2360,26546,12535589,13735739,12810000,2.1421623731,2021-09-13 09:40:59.629,2021-09-19 09:26:37.264
18,633,20210912,00:00,272978,244459,910419,2359,26160,12520775,13704172,12793753,2.1336819618,2021-09-12 09:35:58.19,2021-09-19 09:26:24.769
19,632,20210911,00:00,271223,242960,895077,2358,25905,12499159,13665459,12770382,2.1238440635,2021-09-11 09:42:37.082,2021-09-19 09:26:14.54
20,631,20210910,00:00,269360,240733,888674,2348,26279,12457022,13615056,12726382,2.1165481281,2021-09-10 09:40:06.372,2021-09-14 15:20:29.339
21,630,20210909,00:00,267467,238920,897924,2343,26204,12403479,13568870,12670946,2.1108684387,2021-09-09 09:40:59.551,2021-09-19 09:25:57.564
22,629,20210908,00:00,265418,237286,898494,2334,25798,12355753,13519665,12621171,2.1029585923,2021-09-08 09:39:50.468,2021-09-19 09:25:43.359
23,628,20210907,00:00,263370,235225,886983,2330,25815,12318059,13468412,12581429,2.0933234213,2021-09-07 09:39:03.178,2021-09-19 09:25:31.554
24,627,20210906,00:00,261773,233695,891318,2327,25751,12263652,13416743,12525425,2.0899330761,2021-09-06 09:43:09.889,2021-09-19 09:25:20.62
25,626,20210905,00:00,260398,232334,874694,2321,25743,12247641,13382733,12508039,2.0818451237,2021-09-05 10:48:36.114,2021-09-19 09:24:15.225
26,624,20210904,00:00,258908,230405,850535,2315,26188,12240913,13350356,12499821,2.0712936609,2021-09-04 09:41:36.458,2021-09-19 09:25:09.189
27,623,20210903,00:00,257105,228618,825198,2308,26179,12204374,13286677,12461479,2.0631981163,2021-09-03 09:44:30.979,2021-09-19 09:24:47.109
28,622,20210902,00:00,255397,226222,819939,2303,26872,12148175,13223511,12403572,2.0590600836,2021-09-02 09:37:25.055,2021-09-19 09:24:34.002
29,621,20210901,00:00,253437,224319,780979,2292,26826,12117722,13152138,12371159,2.0486116135,2021-09-01 09:37:02.395,2021-09-19 09:24:03.195
30,620,20210831,00:00,251414,221701,751241,2285,27428,12092056,13094711,12343470,2.0368178478,2021-08-31 09:38:37.509,2021-09-14 15:18:39.956
31,619,20210830,00:00,250044,220358,766807,2284,27402,12032826,13049677,12282870,2.0357131517,2021-08-30 09:40:07.28,2021-09-14 15:18:19.773
32,618,20210829,00:00,248557,218726,762594,2279,27552,12004765,13015916,12253322,2.0284866422,2021-08-29 09:30:47.611,2021-09-14 15:18:06.531
33,617,20210828,00:00,246942,216989,743177,2276,27677,11993364,12983483,12240306,2.0174495637,2021-08-28 09:51:58.552,2021-09-14 15:17:47.113
34,616,20210827,00:00,245149,214673,718479,2265,28211,11964158,12927786,12209307,2.0078862788,2021-08-27 09:47:12.926,2021-09-14 15:17:35.572
35,615,20210826,00:00,243312,212871,710599,2257,28184,11912886,12866797,12156198,2.0015468652,2021-08-26 09:37:19.288,2021-09-14 15:17:24.094
36,614,20210825,00:00,241431,211177,697586,2237,28017,11867592,12806609,12109023,1.9938107310,2021-08-25 09:46:31.206,2021-09-14 15:17:09.721
37,613,20210824,00:00,239277,209193,688192,2228,27856,11822279,12749748,12061556,1.9837987735,2021-08-24 09:39:28.153,2021-09-14 15:16:54.66
38,612,20210823,00:00,237770,207601,689243,2222,27947,11767009,12694022,12004779,1.9806278816,2021-08-23 09:39:10.495,2021-09-14 15:16:43.141
39,611,20210822,00:00,236353,206276,678447,2215,27862,11749535,12664335,11985888,1.9719273198,2021-08-22 09:43:14.04,2021-09-14 15:16:28.773
40,610,20210821,00:00,234727,204518,667998,2202,28007,11729870,12632595,11964597,1.9618462702,2021-08-21 09:47:10.494,2021-09-14 15:16:10.377
41,609,20210820,00:00,232850,202775,659590,2197,27878,11674565,12567005,11907415,1.9555041963,2021-08-20 09:36:01.734,2021-09-14 15:15:58.763
42,608,20210819,00:00,230800,201235,652740,2191,27374,11635160,12518700,11865960,1.9450596496,2021-08-19 09:35:41.913,2021-09-14 15:10:30.562
43,607,20210818,00:00,228648,199582,634727,2178,26888,11598306,12461681,11826954,1.9332788476,2021-08-18 09:41:29.969,2021-09-14 15:09:58.135
44,606,20210817,00:00,226845,197224,620680,2173,27448,11557449,12404974,11784294,1.9249774318,2021-08-17 09:34:16.236,2021-09-14 15:09:14.045
45,605,20210816,00:00,225473,196198,595225,2167,27108,11552076,12372774,11777549,1.9144305831,2021-08-16 09:37:05.069,2021-09-14 15:08:49.312
46,604,20210815,00:00,223919,195103,585131,2156,26660,11535664,12344714,11759583,1.9041406485,2021-08-15 09:34:53.152,2021-08-31 10:39:50.57
47,603,20210814,00:00,222103,193778,562705,2148,26177,11524470,12309278,11746573,1.8907897648,2021-08-14 09:45:15.42,2021-08-31 10:39:39.859
48,602,20210813,00:00,220175,192248,539535,2144,25783,11498254,12257964,11718429,1.8788781328,2021-08-13 09:44:04.528,2021-08-31 10:39:20.898
49,601,20210812,00:00,218186,190536,510096,2138,25512,11478958,12207240,11697144,1.8652929296,2021-08-12 09:38:42.576,2021-08-26 16:44:36.665
50,600,20210811,00:00,216199,189506,488067,2135,24558,11451932,12156198,11668131,1.8529017200,2021-08-11 09:40:02.974,2021-08-26 16:45:40.418
51,599,20210810,00:00,213978,187524,465922,2134,24320,11432185,12112085,11646163,1.8373261648,2021-08-10 09:37:53.03,2021-08-26 16:47:28.789
52,598,20210809,00:00,212441,186243,467508,2125,24073,11377880,12057829,11590321,1.8329173109,2021-08-09 09:37:14.335,2021-08-26 16:48:29.067
53,597,20210808,00:00,210950,185003,466279,2121,23826,11350213,12027442,11561163,1.8246434203,2021-08-08 09:43:32.979,2021-08-26 16:48:51.727
54,596,20210807,00:00,209222,183788,444937,2116,23318,11341767,11995926,11550989,1.8112907907,2021-08-07 09:40:18.999,2021-08-26 16:49:08.651
55,595,20210806,00:00,207399,182054,427050,2113,23232,11317201,11951650,11524600,1.7996199434,2021-08-06 09:43:45.386,2021-08-26 16:49:32.357
56,594,20210805,00:00,205695,180721,415489,2109,22865,11287250,11908434,11492945,1.7897501467,2021-08-05 09:50:52.915,2021-08-26 16:50:01.016
57,593,20210804,00:00,203920,179126,397889,2106,22688,11262434,11864243,11466354,1.7784205860,2021-08-04 09:49:14.864,2021-08-26 16:50:15.584
58,592,20210803,00:00,202195,177910,398300,2104,22181,11219519,11820014,11421714,1.7702684553,2021-08-03 09:38:51.531,2021-08-26 16:50:37.101
59,591,20210802,00:00,200995,176600,387170,2099,22296,11184437,11772602,11385432,1.7653699921,2021-08-02 09:37:51.966,2021-08-26 16:50:55.941
60,590,20210801,00:00,199777,175673,378600,2098,22006,11173403,11751780,11373180,1.7565623686,2021-08-01 09:38:06.089,2021-08-26 16:51:18.107
61,589,20210731,00:00,198335,174178,369201,2095,22062,11161277,11728813,11359612,1.7459663234,2021-07-31 09:37:25.702,2021-08-26 16:51:41.243
62,588,20210730,00:00,196797,172757,357215,2089,21951,11128949,11682961,11325746,1.7376073946,2021-07-30 09:36:59.61,2021-08-26 16:51:58.128
63,587,20210729,00:00,195087,171558,342326,2085,21444,11100083,11637496,11295170,1.7271718796,2021-07-29 09:37:41.356,2021-08-26 16:52:21.179
64,586,20210728,00:00,193414,170493,323954,2083,20838,11068236,11585604,11261650,1.7174570333,2021-07-28 09:36:06.387,2021-08-26 16:52:46.201
65,585,20210727,00:00,191519,168628,309414,2079,20812,11027666,11528599,11219185,1.7070669571,2021-07-27 09:35:45.815,2021-08-26 16:53:55.714
66,584,20210726,00:00,190156,167367,281003,2077,20712,11001180,11472339,11191336,1.6991358315,2021-07-26 09:40:26.165,2021-08-26 16:54:06.635
67,583,20210725,00:00,188838,166374,274761,2073,20391,10989741,11453340,11178579,1.6892844788,2021-07-25 09:32:34.468,2021-08-26 16:54:35.817
68,582,20210724,00:00,187351,165245,274697,2068,20038,10968469,11430517,11155820,1.6794014245,2021-07-24 09:38:51.376,2021-08-26 16:54:48.465
69,581,20210723,00:00,185723,164206,278011,2066,19451,10924563,11388297,11110286,1.6716311353,2021-07-23 09:37:34.575,2021-08-26 16:55:08.091
70,580,20210722,00:00,184094,163074,269496,2063,18957,10890320,11343910,11074414,1.6623362644,2021-07-22 09:39:47.617,2021-08-26 16:55:26.19
71,579,20210721,00:00,182253,161634,252187,2060,18559,10864227,11298667,11046480,1.6498739870,2021-07-21 09:38:25.219,2021-08-26 16:55:43.854
72,578,20210720,00:00,180472,160347,244671,2059,18066,10826837,11251980,11007309,1.6395651289,2021-07-20 09:37:01.254,2021-08-26 16:55:58.073
73,577,20210719,00:00,179194,159628,240689,2058,17508,10782544,11202427,10961738,1.6347225230,2021-07-19 09:38:09.418,2021-08-26 16:56:21.315
74,576,20210718,00:00,177943,158955,235438,2057,16931,10762594,11175975,10940537,1.6264558129,2021-07-18 09:33:01.419,2021-08-26 16:56:40.932
75,575,20210717,00:00,176490,157961,227636,2055,16474,10745091,11149217,10921581,1.6159748300,2021-07-17 10:19:46.901,2021-08-26 16:56:58.194
76,574,20210716,00:00,175041,157111,218192,2051,15879,10715347,11108580,10890388,1.6072981054,2021-07-16 09:41:57.584,2021-08-26 16:57:14.979
77,573,20210715,00:00,173506,156510,204479,2050,14946,10682467,11060452,10855973,1.5982537907,2021-07-15 09:46:10.26,2021-08-26 16:57:36.994
78,572,20210714,00:00,171907,155492,181905,2048,14367,10655044,11008856,10826951,1.5877692620,2021-07-14 09:47:11.336,2021-08-26 16:57:50.72
79,571,20210713,00:00,170294,154752,179130,2046,13496,10614874,10964298,10785168,1.5789647412,2021-07-13 09:45:01.789,2021-08-26 16:58:04.079
80,570,20210712,00:00,169144,154187,174671,2044,12913,10576082,10919897,10745226,1.5741316190,2021-07-12 09:43:17.529,2021-08-26 16:59:14.401
81,569,20210711,00:00,168044,153760,176062,2043,12241,10558171,10902277,10726215,1.5666663403,2021-07-11 09:32:25.474,2021-08-26 16:59:56.625
82,568,20210710,00:00,166720,153153,169719,2038,11529,10545200,10881639,10711920,1.5563969857,2021-07-10 10:01:51.164,2021-08-26 17:05:42.631
83,567,20210709,00:00,165342,152498,160468,2036,10808,10518406,10844216,10683748,1.5476029573,2021-07-09 09:37:58.273,2021-08-26 17:00:28.309
84,566,20210708,00:00,164026,151923,151158,2034,10069,10487597,10802781,10651623,1.5399155602,2021-07-08 09:37:10.439,2021-08-26 17:00:43.859
85,565,20210707,00:00,162751,151501,142748,2033,9217,10461002,10766501,10623753,1.5319539149,2021-07-07 09:41:09.863,2021-08-26 17:01:01.975
86,564,20210706,00:00,161540,150760,141699,2032,8748,10432476,10735715,10594016,1.5248230699,2021-07-06 09:42:40.275,2021-08-26 17:01:22.0
87,563,20210705,00:00,160794,150044,134893,2028,8722,10404446,10700133,10565240,1.5219152617,2021-07-05 09:53:08.163,2021-08-26 17:01:36.452
88,562,20210704,00:00,160083,149614,136297,2026,8443,10388744,10685124,10548827,1.5175431353,2021-07-04 09:33:38.815,2021-08-26 17:02:03.794
89,561,20210703,00:00,159340,149132,133909,2025,8183,10377366,10670615,10536706,1.5122373159,2021-07-03 09:44:37.172,2021-08-26 17:02:20.785
90,560,20210702,00:00,158546,148318,130666,2024,8204,10352388,10641600,10510934,1.5083911667,2021-07-02 09:40:45.284,2021-08-26 17:02:36.378
91,559,20210701,00:00,157721,148025,124925,2021,7675,10331669,10614315,10489390,1.5036241382,2021-07-01 09:42:01.927,2021-08-26 17:03:06.465
92,558,20210630,00:00,156960,147694,114110,2018,7248,10308001,10579071,10464961,1.4998622546,2021-06-30 09:38:19.271,2021-08-26 17:03:28.279
93,557,20210629,00:00,156166,147078,116858,2017,7071,10282716,10555740,10438882,1.4960031160,2021-06-29 09:55:20.921,2021-08-26 17:03:40.9
94,556,20210628,00:00,155571,146674,114843,2015,6882,10250514,10520928,10406085,1.4950002810,2021-06-28 09:37:00.101,2021-08-26 17:03:57.684
95,555,20210627,00:00,155070,146340,116376,2013,6717,10237231,10508677,10392301,1.4921623228,2021-06-27 09:32:43.7,2021-08-26 17:05:03.056
96,554,20210626,00:00,154456,145990,114573,2012,6454,10226486,10495515,10380942,1.4878803869,2021-06-26 09:46:37.249,2021-08-26 17:05:15.078
97,553,20210625,00:00,153788,145390,122188,2009,6389,10190568,10466544,10344356,1.4866851063,2021-06-25 09:38:45.327,2021-08-26 17:05:58.56
98,552,20210624,00:00,153154,144789,120971,2008,6357,10164656,10438781,10317810,1.4843653837,2021-06-24 09:34:00.179,2021-08-26 17:09:28.011
99,551,20210623,00:00,152544,144379,129791,2007,6158,10127613,10409948,10280157,1.4838683883,2021-06-23 09:38:51.681,2021-08-26 17:09:44.395
100,550,20210622,00:00,151899,143822,127127,2006,6071,10101015,10380041,10252914,1.4815202780,2021-06-22 09:37:35.096,2021-08-26 17:09:58.401
101,549,20210621,00:00,151505,143269,128433,2004,6232,10066108,10346046,10217613,1.4827827203,2021-06-21 09:40:21.025,2021-08-26 17:10:27.134
102,548,20210620,00:00,151148,142893,131062,2002,6253,10053423,10335633,10204571,1.4811793655,2021-06-20 09:39:22.589,2021-08-26 17:10:48.443
103,547,20210619,00:00,150719,142386,128721,1997,6336,10043713,10323153,10194432,1.4784443115,2021-06-19 09:54:16.488,2021-08-26 17:11:10.253
104,546,20210618,00:00,150237,141815,125837,1996,6426,10017973,10294047,10168210,1.4775166917,2021-06-18 09:42:02.1,2021-08-26 17:11:22.785
105,545,20210617,00:00,149730,141029,121319,1994,6707,9986786,10257835,10136516,1.4771347472,2021-06-17 09:37:38.734,2021-08-26 17:11:36.009
106,544,20210616,00:00,149190,140437,118764,1993,6760,9961429,10229383,10110619,1.4755773113,2021-06-16 09:52:02.014,2021-08-26 17:11:56.187
107,543,20210615,00:00,148645,139733,123664,1992,6920,9924159,10196468,10072804,1.4757062680,2021-06-15 09:34:07.292,2021-08-26 17:12:07.069
108,542,20210614,00:00,148272,139024,123424,1988,7260,9893800,10165496,10042072,1.4765080353,2021-06-14 09:35:03.394,2021-08-26 17:12:21.774
109,541,20210613,00:00,147873,138579,124517,1985,7309,9880516,10152906,10028389,1.4745439172,2021-06-13 09:36:35.692,2021-08-26 17:12:43.661
110,540,20210612,00:00,147421,138037,122200,1982,7402,9870913,10140534,10018334,1.4715121296,2021-06-12 09:40:24.954,2021-08-26 17:14:09.039
111,539,20210611,00:00,146856,137225,133753,1981,7650,9830452,10111061,9977308,1.4719000355,2021-06-11 09:37:57.985,2021-08-26 17:14:17.051
112,538,20210610,00:00,146300,136713,130327,1979,7608,9800232,10076859,9946532,1.4708644178,2021-06-10 09:35:53.948,2021-08-26 17:14:24.686
113,537,20210609,00:00,145690,136174,131424,1977,7539,9767667,10044781,9913357,1.4696333441,2021-06-09 09:41:30.049,2021-08-26 17:14:49.264
114,536,20210608,00:00,145088,135413,139260,1975,7700,9724233,10008581,9869321,1.4700910022,2021-06-08 09:37:18.147,2021-08-26 17:15:01.933
115,535,20210607,00:00,144634,134860,136526,1974,7800,9691134,9972294,9835768,1.4704901538,2021-06-07 09:34:49.979,2021-08-26 17:15:09.8
116,534,20210606,00:00,144149,134262,136465,1973,7914,9679080,9959694,9823229,1.4674299051,2021-06-06 09:43:04.144,2021-08-26 17:15:18.643
117,533,20210605,00:00,143593,133766,137164,1971,7856,9665194,9945951,9808787,1.4639220935,2021-06-05 09:35:32.811,2021-08-26 17:15:26.156
118,532,20210604,00:00,142849,133287,133844,1969,7593,9634628,9911321,9777477,1.4610006241,2021-06-04 09:35:01.747,2021-08-26 17:15:52.108
119,531,20210603,00:00,142154,132697,129822,1968,7489,9600345,9872321,9742499,1.4591122873,2021-06-03 09:34:41.776,2021-08-26 17:16:03.024
120,530,20210602,00:00,141473,132067,128917,1965,7441,9563957,9834347,9705430,1.4576685422,2021-06-02 09:34:39.577,2021-08-26 17:16:12.766
121,529,20210601,00:00,140796,131463,127612,1963,7370,9529991,9798399,9670787,1.4558897843,2021-06-01 09:39:17.218,2021-08-26 17:16:20.11
122,528,20210531,00:00,140337,130824,127953,1959,7554,9492865,9761155,9633202,1.4568053280,2021-05-31 09:34:29.254,2021-08-26 17:16:27.113
123,527,20210530,00:00,139907,130382,126493,1957,7568,9481211,9747611,9621118,1.4541657216,2021-05-30 09:24:39.384,2021-08-26 17:16:35.448
124,526,20210529,00:00,139427,129740,123790,1951,7736,9470370,9733587,9609797,1.4508839260,2021-05-29 09:45:26.765,2021-08-26 17:16:43.488
125,525,20210528,00:00,138894,128750,122872,1946,8198,9440686,9702452,9579580,1.4498965507,2021-05-28 09:34:29.553,2021-08-26 17:25:29.212
126,524,20210527,00:00,138307,128181,122659,1943,8183,9404723,9665689,9543030,1.4492985980,2021-05-27 09:39:43.099,2021-08-26 17:25:42.217
127,523,20210526,00:00,137678,127571,121069,1940,8167,9370707,9629454,9508385,1.4479640864,2021-05-26 09:46:42.628,2021-08-26 17:26:10.156
128,522,20210525,00:00,136973,126992,117098,1938,8043,9338654,9592725,9475627,1.4455296731,2021-05-25 09:33:39.762,2021-08-26 17:26:36.62
129,521,20210524,00:00,136457,126468,120704,1934,8055,9296450,9553611,9432907,1.4466060144,2021-05-24 09:42:11.785,2021-08-26 17:26:46.034
130,520,20210523,00:00,135927,125839,122235,1931,8157,9278135,9536297,9414062,1.4438719439,2021-05-23 09:37:54.099,2021-08-26 17:26:54.209
131,519,20210522,00:00,135342,125032,117558,1926,8384,9268064,9520964,9403406,1.4392869987,2021-05-22 09:37:01.885,2021-08-26 17:28:05.561
132,518,20210521,00:00,134676,124160,114144,1922,8594,9238286,9487106,9372962,1.4368563534,2021-05-21 09:36:32.023,2021-08-26 17:28:14.391
133,517,20210520,00:00,134115,123662,108873,1916,8537,9204368,9447356,9338483,1.4361540305,2021-05-20 09:35:45.542,2021-08-26 17:28:26.279
134,516,20210519,00:00,133469,123240,104494,1912,8317,9190679,9428642,9324148,1.4314337352,2021-05-19 09:39:48.186,2021-08-26 17:28:36.377
135,515,20210518,00:00,132815,122627,103413,1904,8284,9158773,9395001,9291588,1.4294112050,2021-05-18 09:41:35.393,2021-08-26 17:28:48.357
136,514,20210517,00:00,132287,122172,101804,1903,8212,9119206,9353297,9251493,1.4298989363,2021-05-17 09:39:34.169,2021-08-26 17:28:59.779
137,513,20210516,00:00,131668,121764,101663,1900,8004,9103280,9336611,9234948,1.4257578927,2021-05-16 09:26:31.589,2021-08-26 17:29:09.085
138,512,20210515,00:00,131058,121282,99216,1896,7880,9088817,9319091,9219875,1.4214726338,2021-05-15 09:38:53.579,2021-08-26 17:29:17.999
139,511,20210514,00:00,130377,120395,95208,1893,8089,9055703,9281288,9186080,1.4192887499,2021-05-14 09:44:47.494,2021-08-26 17:29:30.0
140,510,20210513,00:00,129630,119906,87517,1891,7833,9024003,9241150,9153633,1.4161590266,2021-05-13 09:41:10.7,2021-08-26 17:31:26.288
141,509,20210512,00:00,128915,119373,84279,1884,7658,8988342,9201536,9117257,1.4139669420,2021-05-12 09:38:47.792,2021-08-26 17:31:39.571
142,508,20210511,00:00,128281,118717,84628,1879,7685,8951374,9164283,9079655,1.4128400253,2021-05-11 09:39:41.186,2021-08-26 17:31:54.362
143,507,20210510,00:00,127771,117844,83398,1875,8052,8910889,9122058,9038660,1.4136055565,2021-05-10 09:36:30.35,2021-08-26 17:32:03.381
144,506,20210509,00:00,127308,117423,81280,1874,8011,8897182,9105770,9024490,1.4106946763,2021-05-09 09:38:01.137,2021-08-26 17:32:12.126
145,505,20210508,00:00,126744,116881,78259,1865,7998,8884162,9089165,9010906,1.4065622258,2021-05-08 09:37:54.141,2021-08-26 17:34:30.031
146,504,20210507,00:00,126043,116022,78896,1860,8161,8846414,9051353,8972457,1.4047768632,2021-05-07 09:38:57.839,2021-08-26 17:32:34.534
147,503,20210506,00:00,125518,115491,77055,1851,8176,8808418,9010991,8933936,1.4049574566,2021-05-06 09:34:55.519,2021-08-26 17:32:41.57
148,502,20210505,00:00,124944,114944,78995,1847,8153,8790129,8994068,8915073,1.4014916086,2021-05-05 09:37:42.237,2021-08-26 17:32:48.727
149,501,20210504,00:00,124268,114128,78096,1840,8300,8754790,8957154,8879058,1.3995628815,2021-05-04 09:46:01.635,2021-08-26 17:32:58.463
150,500,20210503,00:00,123727,113356,89022,1834,8537,8702576,8915325,8826303,1.4017986919,2021-05-03 09:31:59.949,2021-08-26 17:33:06.392
151,499,20210502,00:00,123239,112865,86607,1833,8541,8688387,8898233,8811626,1.3985954465,2021-05-02 09:23:20.57,2021-08-26 17:33:14.373
152,498,20210501,00:00,122633,112337,85212,1831,8465,8675542,8883387,8798175,1.3938458828,2021-05-01 09:17:27.172,2021-08-26 17:33:25.873
153,497,20210430,00:00,122006,111422,82511,1828,8756,8643774,8848291,8765780,1.3918441941,2021-04-30 09:33:44.165,2021-08-26 17:33:34.002
154,496,20210429,00:00,121345,110787,80392,1825,8733,8604036,8805773,8725381,1.3907129098,2021-04-29 09:32:46.339,2021-08-26 17:33:41.727
155,495,20210428,00:00,120666,110248,77166,1821,8597,8568659,8766491,8689325,1.3886694305,2021-04-28 09:33:01.863,2021-04-30 09:39:12.945
156,494,20210427,00:00,119897,109695,76508,1820,8382,8525203,8721608,8645100,1.3868781159,2021-04-27 09:34:47.417,2021-08-26 17:41:51.809
157,493,20210426,00:00,119385,108850,78084,1817,8718,8475508,8672977,8594893,1.3890225276,2021-04-26 09:42:14.75,2021-08-26 17:42:05.137
158,492,20210425,00:00,118886,108475,77560,1813,8598,8458344,8654790,8577230,1.3860651982,2021-04-25 09:52:50.626,2021-08-26 17:42:14.418
159,491,20210424,00:00,118242,107781,78269,1812,8649,8436412,8632923,8554654,1.3821950016,2021-04-24 09:38:23.778,2021-08-25 15:39:23.77
160,490,20210423,00:00,117457,107071,69939,1811,8575,8396134,8583530,8513591,1.3796410938,2021-04-23 09:51:40.55,2021-08-25 15:39:03.805
161,489,20210422,00:00,116660,106459,67139,1808,8393,8353706,8537505,8470366,1.3772722453,2021-04-22 09:31:58.246,2021-08-25 15:38:50.39
162,488,20210421,00:00,115925,105877,67211,1806,8242,8314458,8497594,8430383,1.3750858057,2021-04-21 09:36:56.675,2021-08-25 15:38:41.188
163,487,20210117,00:00,72328,58253,159385,1249,12826,4829566,5061279,4901894,1.4755113023,2021-01-17 15:27:58.692,2021-08-25 11:24:27.128
164,486,20210420,00:00,115194,105227,66590,1802,8165,8276808,8458592,8392002,1.3726641151,2021-04-20 09:34:02.801,2021-08-25 15:38:31.067
165,485,20210419,00:00,114645,104474,70763,1801,8370,8229413,8414821,8344058,1.3739717533,2021-04-19 09:39:21.483,2021-08-25 15:38:02.739
166,484,20210418,00:00,114113,104006,72191,1797,8310,8209762,8396066,8323875,1.3709119851,2021-04-18 09:30:44.979,2021-08-25 15:35:14.424
167,483,20210417,00:00,113442,103594,71039,1794,8054,8193297,8377778,8306739,1.3656622653,2021-04-17 09:40:16.606,2021-08-25 15:35:00.254
168,482,20210416,00:00,112784,103062,70883,1790,7932,8149664,8333331,8262448,1.3650191807,2021-04-16 09:32:10.738,2021-08-25 15:34:45.806
169,481,20210415,00:00,112111,102513,70221,1788,7810,8108789,8291121,8220900,1.3637314649,2021-04-15 09:38:50.34,2021-08-25 15:34:28.391
170,480,20210414,00:00,111413,101983,74627,1782,7648,8059343,8245383,8170756,1.3635580355,2021-04-14 09:33:58.653,2021-08-25 15:34:12.742
171,479,20210413,00:00,110682,101332,85584,1775,7575,8004248,8200514,8114930,1.3639304343,2021-04-13 09:36:30.661,2021-08-25 15:34:01.073
172,478,20210412,00:00,110140,100804,95248,1770,7566,7947390,8152778,8057530,1.3669201355,2021-04-12 09:36:52.596,2021-08-25 15:33:44.423
173,477,20210411,00:00,109553,100109,91909,1768,7676,7928065,8129527,8037618,1.3630033176,2021-04-11 09:36:07.611,2021-08-25 15:33:31.002
174,476,20210410,00:00,108939,99301,90014,1765,7873,7907672,8106625,8016611,1.3589158810,2021-04-10 09:36:31.907,2021-08-25 15:33:21.145
175,475,20210409,00:00,108262,98786,81912,1764,7712,7868933,8059107,7977195,1.3571437077,2021-04-09 09:33:53.3,2021-08-25 15:33:10.666
176,474,20210408,00:00,107591,98360,77994,1759,7472,7826829,8012414,7934420,1.3560033373,2021-04-08 09:30:58.826,2021-08-26 17:44:00.758
177,473,20210407,00:00,106891,97928,74642,1756,7207,7784628,7966161,7891519,1.3545047537,2021-04-07 09:37:24.979,2021-08-25 15:32:48.49
178,472,20210406,00:00,106223,97363,79155,1752,7108,7735906,7921284,7842129,1.3545173765,2021-04-06 09:31:57.498,2021-08-25 15:32:31.147
179,471,20210405,00:00,105746,96900,80497,1748,7098,7682572,7868815,7788318,1.3577514426,2021-04-05 09:44:27.235,2021-08-25 15:32:04.746
180,470,20210404,00:00,105273,96589,79799,1744,6940,7664399,7849471,7769672,1.3549220610,2021-04-04 09:45:05.147,2021-08-26 17:47:03.151
